station_id,mapped_integer
1933998036428004326,43
a3b2d7d9-a135-11e9-9cda-0a87ae2ba916,44
792ceba0-564f-4a2c-bcb5-90da781ffeef,45
a3b4399a-a135-11e9-9cda-0a87ae2ba916,46
a3a97a01-a135-11e9-9cda-0a87ae2ba916,47
1799277526470631980,48
a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,49
a3a8804b-a135-11e9-9cda-0a87ae2ba916,50
a3b2862e-a135-11e9-9cda-0a87ae2ba916,51
a3a547b8-a135-11e9-9cda-0a87ae2ba916,52
f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9,53
90011328-f7bd-4b7b-8f95-8204a0b50f27,54
a3b20960-a135-11e9-9cda-0a87ae2ba916,55
a21de1a5-f5bc-4b50-8a13-aa28b7dcfa95,56
a3a3a282-a135-11e9-9cda-0a87ae2ba916,57
a3ac7e9a-a135-11e9-9cda-0a87ae2ba916,58
a3a859c4-a135-11e9-9cda-0a87ae2ba916,59
a3b1fa1c-a135-11e9-9cda-0a87ae2ba916,60
a3afbe2e-a135-11e9-9cda-0a87ae2ba916,61
a3ac3b03-a135-11e9-9cda-0a87ae2ba916,62
a3a72012-a135-11e9-9cda-0a87ae2ba916,63
a3b148bf-a135-11e9-9cda-0a87ae2ba916,64
1879436840905128284,65
a3a8855c-a135-11e9-9cda-0a87ae2ba916,66
a3a59ec3-a135-11e9-9cda-0a87ae2ba916,67
a3ae87fa-a135-11e9-9cda-0a87ae2ba916,68
a3ad13e4-a135-11e9-9cda-0a87ae2ba916,69
a3b222fc-a135-11e9-9cda-0a87ae2ba916,70
a3a3f0c6-a135-11e9-9cda-0a87ae2ba916,71
a3a5700b-a135-11e9-9cda-0a87ae2ba916,72
a3b3915a-a135-11e9-9cda-0a87ae2ba916,73
a3ac1607-a135-11e9-9cda-0a87ae2ba916,74
1871992980799203880,75
1929883678185797908,76
a3acdae2-a135-11e9-9cda-0a87ae2ba916,77
da9e6779-5056-4d45-bae3-9dc325ed2807,78
a3b2905a-a135-11e9-9cda-0a87ae2ba916,79
a3a795d7-a135-11e9-9cda-0a87ae2ba916,80
a3a5a9d0-a135-11e9-9cda-0a87ae2ba916,81
a3b2c87c-a135-11e9-9cda-0a87ae2ba916,82
a3a3ace6-a135-11e9-9cda-0a87ae2ba916,83
1934288718318207280,84
a3b1d532-a135-11e9-9cda-0a87ae2ba916,85
a3a75d8a-a135-11e9-9cda-0a87ae2ba916,86
94788869-1849-43f6-99e1-2eacbc3fab03,87
a3aabad8-a135-11e9-9cda-0a87ae2ba916,88
a3a3b731-a135-11e9-9cda-0a87ae2ba916,89
1850866657089146912,90
a3af8123-a135-11e9-9cda-0a87ae2ba916,91
a3a62aad-a135-11e9-9cda-0a87ae2ba916,92
a3a614ad-a135-11e9-9cda-0a87ae2ba916,93
a3a79adb-a135-11e9-9cda-0a87ae2ba916,94
a3af9a83-a135-11e9-9cda-0a87ae2ba916,95
a3a62fc9-a135-11e9-9cda-0a87ae2ba916,96
1867616662773391950,97
a3a41004-a135-11e9-9cda-0a87ae2ba916,98
