altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,5,6,Chicago,51,True,True,Chicago,2024-04-14 15:26:39,41.751785,Chicago,-87.578496,60602,Chicago,Chicago,Bennett Ave & 79th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,7,8,Chicago,52,True,True,Chicago,2024-04-14 15:26:38,41.78091096424803,Chicago,-87.57632374763489,60602,Chicago,Chicago,63rd St Beach,IN_SERVICE,1,IN_SERVICE,False,15
0.0,8,7,Chicago,53,True,True,Chicago,2024-04-14 15:26:40,41.7282338,Chicago,-87.6675239,60602,Chicago,Chicago,Prospect Sq & 91st St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,0,11,Chicago,54,True,True,Chicago,2024-04-14 15:26:37,41.89737986072316,Chicago,-87.63442039489746,60602,Chicago,Chicago,Wells St & Institute Pl,IN_SERVICE,1,IN_SERVICE,False,11
0.0,5,2,Chicago,55,True,True,Chicago,2024-04-14 15:26:42,41.800908,Chicago,-87.674684,60602,Chicago,Chicago,Damen Ave & 51st St,IN_SERVICE,1,IN_SERVICE,False,7
0.0,12,3,Chicago,56,True,True,Chicago,2024-04-14 15:26:44,41.719712183618824,Chicago,-87.6430195569992,60602,Chicago,Chicago,Halsted St & 96th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,21,12,Chicago,57,True,True,Chicago,2024-04-14 15:26:44,41.932418,Chicago,-87.652705,60602,Chicago,Chicago,Wilton Ave & Diversey Pkwy,IN_SERVICE,1,IN_SERVICE,False,35
0.0,4,8,Chicago,58,True,True,Chicago,2024-04-14 15:26:44,41.83068856472101,Chicago,-87.65621066093445,60602,Chicago,Chicago,Racine Ave & 35th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,2,13,Chicago,59,True,True,Chicago,2024-04-14 15:26:45,41.842052,Chicago,-87.617,60602,Chicago,Chicago,MLK Jr Dr & 29th St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,5,5,Chicago,60,True,True,Chicago,2024-04-14 15:26:43,41.808227,Chicago,-87.67718,60602,Chicago,Chicago,Hoyne Ave & 47th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,14,0,Chicago,61,True,True,Chicago,2024-04-14 15:26:43,41.95434085219,Chicago,-87.6860796243,60602,Chicago,Chicago,Oakley Ave & Irving Park Rd,IN_SERVICE,1,IN_SERVICE,False,15
0.0,6,7,Chicago,62,True,True,Chicago,2024-04-14 15:26:43,42.01256011541,Chicago,-87.6743671152,60602,Chicago,Chicago,Clark St & Touhy Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,2,6,Chicago,63,True,True,Chicago,2024-04-14 15:26:44,41.90230870122,Chicago,-87.627690528,60602,Chicago,Chicago,Rush St & Cedar St,IN_SERVICE,1,IN_SERVICE,False,11
