station_id,mapped_integer
a3a75885-a135-11e9-9cda-0a87ae2ba916,41
1934289130932983934,42
a3b47cbc-a135-11e9-9cda-0a87ae2ba916,43
a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,44
a3ad8072-a135-11e9-9cda-0a87ae2ba916,45
a3b0fae6-a135-11e9-9cda-0a87ae2ba916,46
1879436840905128284,47
a3b222fc-a135-11e9-9cda-0a87ae2ba916,48
a3a83ba1-a135-11e9-9cda-0a87ae2ba916,49
a3b2c87c-a135-11e9-9cda-0a87ae2ba916,50
1934289361049585738,51
a3a8855c-a135-11e9-9cda-0a87ae2ba916,52
430d5876-c44d-446e-ac53-065da9fb9c17,53
a3b3915a-a135-11e9-9cda-0a87ae2ba916,54
a3a5700b-a135-11e9-9cda-0a87ae2ba916,55
a3af9a83-a135-11e9-9cda-0a87ae2ba916,56
a3b148bf-a135-11e9-9cda-0a87ae2ba916,57
a3a5a9d0-a135-11e9-9cda-0a87ae2ba916,58
a3ac1607-a135-11e9-9cda-0a87ae2ba916,59
1871992980799203880,60
a3b13e66-a135-11e9-9cda-0a87ae2ba916,61
a3aae35a-a135-11e9-9cda-0a87ae2ba916,62
1867616662773391950,63
1850866657089146912,64
a3b1d532-a135-11e9-9cda-0a87ae2ba916,65
a3a62fc9-a135-11e9-9cda-0a87ae2ba916,66
a3a3b731-a135-11e9-9cda-0a87ae2ba916,67
a3a62aad-a135-11e9-9cda-0a87ae2ba916,68
a3a614ad-a135-11e9-9cda-0a87ae2ba916,69
a3b2905a-a135-11e9-9cda-0a87ae2ba916,70
a3a795d7-a135-11e9-9cda-0a87ae2ba916,71
a3b1c47b-a135-11e9-9cda-0a87ae2ba916,72
a3a5de24-a135-11e9-9cda-0a87ae2ba916,73
a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,74
a3b29fae-a135-11e9-9cda-0a87ae2ba916,75
a3a859c4-a135-11e9-9cda-0a87ae2ba916,76
1929883678185797908,77
e63300bd-4ca3-4255-adfd-522289d68b8a,78
ff21c158-de98-46c6-9ef7-7082bdb7c634,79
a3ad7636-a135-11e9-9cda-0a87ae2ba916,80
a3b2be3a-a135-11e9-9cda-0a87ae2ba916,81
a3ac9d43-a135-11e9-9cda-0a87ae2ba916,82
a3a9c0f6-a135-11e9-9cda-0a87ae2ba916,83
a3b1fa1c-a135-11e9-9cda-0a87ae2ba916,84
a3acb1de-a135-11e9-9cda-0a87ae2ba916,85
a3af2c5f-a135-11e9-9cda-0a87ae2ba916,86
a3a565b1-a135-11e9-9cda-0a87ae2ba916,87
a3af5d1c-a135-11e9-9cda-0a87ae2ba916,88
a3a4ac3f-a135-11e9-9cda-0a87ae2ba916,89
a3b01a86-a135-11e9-9cda-0a87ae2ba916,90
1871993715238611622,91
a3ac7444-a135-11e9-9cda-0a87ae2ba916,92
90011328-f7bd-4b7b-8f95-8204a0b50f27,93
a3af52bc-a135-11e9-9cda-0a87ae2ba916,94
a3a9b1d7-a135-11e9-9cda-0a87ae2ba916,95
1890605196211329420,96
4843d153-c725-4230-a4c7-402da6a62143,97
a3acea44-a135-11e9-9cda-0a87ae2ba916,98
a3b481e1-a135-11e9-9cda-0a87ae2ba916,99
a3afd294-a135-11e9-9cda-0a87ae2ba916,100
a3a3e67b-a135-11e9-9cda-0a87ae2ba916,101
a3a528d0-a135-11e9-9cda-0a87ae2ba916,102
a3aa35a4-a135-11e9-9cda-0a87ae2ba916,103
a3ad95a7-a135-11e9-9cda-0a87ae2ba916,104
a3a3b202-a135-11e9-9cda-0a87ae2ba916,105
a21de1a5-f5bc-4b50-8a13-aa28b7dcfa95,106
a3a965b2-a135-11e9-9cda-0a87ae2ba916,107
1850868044363584392,108
a3a41004-a135-11e9-9cda-0a87ae2ba916,109
a3acdae2-a135-11e9-9cda-0a87ae2ba916,110
a3b11480-a135-11e9-9cda-0a87ae2ba916,111
1934288718318207280,112
a3afd7ab-a135-11e9-9cda-0a87ae2ba916,113
94788869-1849-43f6-99e1-2eacbc3fab03,114
a3a48d5c-a135-11e9-9cda-0a87ae2ba916,115
a3a3ace6-a135-11e9-9cda-0a87ae2ba916,116
759171ce-f355-4740-948d-e14bb8f7dc0e,117
a3b10a40-a135-11e9-9cda-0a87ae2ba916,118
a3a97a01-a135-11e9-9cda-0a87ae2ba916,119
a3ad13e4-a135-11e9-9cda-0a87ae2ba916,120
a3a75d8a-a135-11e9-9cda-0a87ae2ba916,121
a3a5d3bb-a135-11e9-9cda-0a87ae2ba916,122
a3a80512-a135-11e9-9cda-0a87ae2ba916,123
a3a62566-a135-11e9-9cda-0a87ae2ba916,124
a3a3f0c6-a135-11e9-9cda-0a87ae2ba916,125
a3b477ac-a135-11e9-9cda-0a87ae2ba916,126
a3ab9119-a135-11e9-9cda-0a87ae2ba916,127
a3b24701-a135-11e9-9cda-0a87ae2ba916,128
a3ad2d57-a135-11e9-9cda-0a87ae2ba916,129
a3a854bf-a135-11e9-9cda-0a87ae2ba916,130
a3aa0bb7-a135-11e9-9cda-0a87ae2ba916,131
a60781db-2bec-4a15-a4a2-363297aefcec,132
a3a8804b-a135-11e9-9cda-0a87ae2ba916,133
a3a59ec3-a135-11e9-9cda-0a87ae2ba916,134
a3a79adb-a135-11e9-9cda-0a87ae2ba916,135
a3b3634c-a135-11e9-9cda-0a87ae2ba916,136
a3b4399a-a135-11e9-9cda-0a87ae2ba916,137
a3a6c38e-a135-11e9-9cda-0a87ae2ba916,138
a3ac30c5-a135-11e9-9cda-0a87ae2ba916,139
a3a3a282-a135-11e9-9cda-0a87ae2ba916,140
a3af8123-a135-11e9-9cda-0a87ae2ba916,141
1799277526470631980,142
a3aaa68b-a135-11e9-9cda-0a87ae2ba916,143
a3af460f-a135-11e9-9cda-0a87ae2ba916,144
a3aa8ca0-a135-11e9-9cda-0a87ae2ba916,145
1862806445904101456,146
792ceba0-564f-4a2c-bcb5-90da781ffeef,147
